SAMPLE_RATE,SNR,LSD,LSD_HF,LSD_LF,RTF,RTF_RECIPROCAL
8000,18.01951352349341,0.7305053678659261,0.7615154252536938,0.10942472308077575,0.04840966506926222,30.33889415348898
12000,20.292549476194917,0.6458230388379641,0.6884554174174083,0.10538498367917631,0.04750645914392,30.468836340284593
16000,21.99846710345353,0.5937935140137369,0.6481274422746472,0.10075694940677296,0.047343613180612885,30.521311824394267
24000,24.64714222714168,0.47497513623395093,0.5443600953071751,0.09797916659539274,0.04651159060041511,30.904446138735103
8000,16.241154374985374,0.6324532450280467,0.6587667271296995,0.11710027421757727,0.042032111197297016,34.64633560694964
12000,18.33620452458736,0.4982025490697647,0.52968627492465,0.1168223401118713,0.0383643931248478,36.63540112326715
16000,19.97105753466431,0.4405635839970614,0.4787529232269004,0.11928992186491287,0.03755345199191836,36.994044154956626
24000,24.131435190044296,0.42893547010961586,0.49189851112640914,0.08172256716425255,0.03700602667924009,37.38051880168137
16000,21.16611206462524,0.4862620952606688,0.5304644232730619,0.08727346201752943,0.040561449502019106,36.654408015055516
16000,-0.4581805150432513,0.4842712895517898,0.5002151403219716,0.3811135155116777,0.037992488270725114,37.923083981070675
16000,0.46076572995128745,0.4968173918084381,0.5118786360095624,0.401256666008534,0.03742456735569531,38.29901500894913
16000,-2.030040526221632,2.0180728683310947,2.44435440113969,0.46693691047105734,0.05161459048677724,27.750447056671007
16000,17.11802104966836,0.5844813436624912,0.634229509399016,0.161413270298989,0.04670673335528333,32.047591647116214
16000,21.62907070800241,0.4764970889911791,0.5203577983093213,0.07322806415773084,0.04155376116160154,34.278181200767214
16000,23.272275774666433,0.46951645383389984,0.5141796187190406,0.011430553551671337,0.024870902016708118,59.79748304954257
16000,21.910664156743934,0.47045520623809106,0.5712383875117888,0.09203108009819802,0.0489343318055432,28.446402840255335
16000,1.4336227527418441,0.6094530815062654,0.6295041529893631,0.4578364687709529,0.041713569992326206,33.52747229591353
16000,21.8256203560834,0.4805002962503865,0.5247338584969553,0.07324092613661881,0.042950657470652465,32.476549815493314
16000,22.15313975957936,0.5250322349854054,0.5750587233423091,0.016168039195223055,0.040241575149327954,34.58563309801952
